eid,total_dist_to_cover,total_risk,total_delay
car_1,7802.18,1.438597,15.567977
car_2,7802.18,1.438597,15.567977
car_3,7802.18,1.438597,15.567977
car_4,7802.18,1.438597,15.567977
car_5,7802.18,1.438597,15.567977
car_6,6824.83,38.934044,14.739179
car_7,6824.83,38.934044,14.739179
car_8,6824.83,38.934044,14.739179
car_9,6824.83,38.934044,14.739179
car_10,6824.83,38.934044,14.739179
car_11,7597.43,1.228332,15.809219
car_12,7597.43,1.228332,15.809219
car_13,7597.43,1.228332,15.809219
car_14,7597.43,1.228332,15.809219
car_15,7597.43,1.228332,15.809219
car_16,4853.59,7.13633,9.310505
car_17,4853.59,7.13633,9.310505
car_18,4853.59,7.13633,9.310505
car_19,4853.59,7.13633,9.310505
car_20,4853.59,7.13633,9.310505
car_21,3958.74,4.283132,11.375994
car_22,3958.74,4.283132,11.375994
car_23,3958.74,4.283132,11.375994
car_24,3958.74,4.283132,11.375994
car_25,3958.74,4.283132,11.375994
car_26,4692.34,8.801072,14.962231
car_27,4692.34,8.801072,14.962231
car_28,4692.34,8.801072,14.962231
car_29,4692.34,8.801072,14.962231
car_30,4692.34,8.801072,14.962231
car_31,1993.25,0.958721,6.75627
car_32,1993.25,0.958721,6.75627
car_33,1993.25,0.958721,6.75627
car_34,1993.25,0.958721,6.75627
car_35,1993.25,0.958721,6.75627
car_36,1704.58,1.633033,4.799134
car_37,1704.58,1.633033,4.799134
car_38,1704.58,1.633033,4.799134
car_39,1704.58,1.633033,4.799134
car_40,1704.58,1.633033,4.799134
car_41,6530.23,0.199161,12.613476
car_42,6530.23,0.199161,12.613476
car_43,6530.23,0.199161,12.613476
car_44,6530.23,0.199161,12.613476
car_45,6530.23,0.199161,12.613476
car_46,1275.94,1.20275,2.313059
car_47,1275.94,1.20275,2.313059
car_48,1275.94,1.20275,2.313059
car_49,1275.94,1.20275,2.313059
car_50,1275.94,1.20275,2.313059
car_51,4692.34,8.801072,14.962231
car_52,4692.34,8.801072,14.962231
car_53,4692.34,8.801072,14.962231
car_54,4692.34,8.801072,14.962231
car_55,4692.34,8.801072,14.962231
car_56,1993.25,0.958721,6.75627
car_57,1993.25,0.958721,6.75627
car_58,1993.25,0.958721,6.75627
car_59,1993.25,0.958721,6.75627
car_60,1993.25,0.958721,6.75627
car_61,1704.58,1.633033,4.799134
car_62,1704.58,1.633033,4.799134
car_63,1704.58,1.633033,4.799134
car_64,1704.58,1.633033,4.799134
car_65,1704.58,1.633033,4.799134
car_66,6530.23,0.199161,12.613476
car_67,6530.23,0.199161,12.613476
car_68,6530.23,0.199161,12.613476
car_69,6530.23,0.199161,12.613476
car_70,6530.23,0.199161,12.613476
car_71,1275.94,1.20275,2.313059
car_72,1275.94,1.20275,2.313059
car_73,1275.94,1.20275,2.313059
car_74,1275.94,1.20275,2.313059
car_75,1275.94,1.20275,2.313059
car_76,4692.34,8.801072,14.962231
car_77,4692.34,8.801072,14.962231
car_78,4692.34,8.801072,14.962231
car_79,4692.34,8.801072,14.962231
car_80,4692.34,8.801072,14.962231
car_81,1993.25,0.958721,6.75627
car_82,1993.25,0.958721,6.75627
car_83,1993.25,0.958721,6.75627
car_84,1993.25,0.958721,6.75627
car_85,1993.25,0.958721,6.75627
car_86,1704.58,1.633033,4.799134
car_87,1704.58,1.633033,4.799134
car_88,1704.58,1.633033,4.799134
car_89,1704.58,1.633033,4.799134
car_90,1704.58,1.633033,4.799134
car_91,6530.23,0.199161,12.613476
car_92,6530.23,0.199161,12.613476
car_93,6530.23,0.199161,12.613476
car_94,6530.23,0.199161,12.613476
car_95,6530.23,0.199161,12.613476
car_96,1275.94,1.20275,2.313059
car_97,1275.94,1.20275,2.313059
car_98,1275.94,1.20275,2.313059
car_99,1275.94,1.20275,2.313059
car_100,1275.94,1.20275,2.313059
car_101,4692.34,8.801072,14.962231
car_102,4692.34,8.801072,14.962231
car_103,4692.34,8.801072,14.962231
car_104,4692.34,8.801072,14.962231
car_105,4692.34,8.801072,14.962231
car_106,1993.25,0.958721,6.75627
car_107,1993.25,0.958721,6.75627
car_108,1993.25,0.958721,6.75627
car_109,1993.25,0.958721,6.75627
car_110,1993.25,0.958721,6.75627
car_111,1704.58,1.633033,4.799134
car_112,1704.58,1.633033,4.799134
car_113,1704.58,1.633033,4.799134
car_114,1704.58,1.633033,4.799134
car_115,1704.58,1.633033,4.799134
car_116,6530.23,0.199161,12.613476
car_117,6530.23,0.199161,12.613476
car_118,6530.23,0.199161,12.613476
car_119,6530.23,0.199161,12.613476
car_120,6530.23,0.199161,12.613476
car_121,1275.94,1.20275,2.313059
car_122,1275.94,1.20275,2.313059
car_123,1275.94,1.20275,2.313059
car_124,1275.94,1.20275,2.313059
car_125,1275.94,1.20275,2.313059
car_126,4692.34,8.801072,14.962231
car_127,4692.34,8.801072,14.962231
car_128,4692.34,8.801072,14.962231
car_129,4692.34,8.801072,14.962231
car_130,4692.34,8.801072,14.962231
car_131,1993.25,0.958721,6.75627
car_132,1993.25,0.958721,6.75627
car_133,1993.25,0.958721,6.75627
car_134,1993.25,0.958721,6.75627
car_135,1993.25,0.958721,6.75627
car_136,1704.58,1.633033,4.799134
car_137,1704.58,1.633033,4.799134
car_138,1704.58,1.633033,4.799134
car_139,1704.58,1.633033,4.799134
car_140,1704.58,1.633033,4.799134
car_141,6530.23,0.199161,12.613476
car_142,6530.23,0.199161,12.613476
car_143,6530.23,0.199161,12.613476
car_144,6530.23,0.199161,12.613476
car_145,6530.23,0.199161,12.613476
car_146,1275.94,1.20275,2.313059
car_147,1275.94,1.20275,2.313059
car_148,1275.94,1.20275,2.313059
car_149,1275.94,1.20275,2.313059
car_150,1275.94,1.20275,2.313059
car_151,4692.34,8.801072,14.962231
car_152,4692.34,8.801072,14.962231
car_153,4692.34,8.801072,14.962231
car_154,4692.34,8.801072,14.962231
car_155,4692.34,8.801072,14.962231
car_156,1993.25,0.958721,6.75627
car_157,1993.25,0.958721,6.75627
car_158,1993.25,0.958721,6.75627
car_159,1993.25,0.958721,6.75627
car_160,1993.25,0.958721,6.75627
car_161,1704.58,1.633033,4.799134
car_162,1704.58,1.633033,4.799134
car_163,1704.58,1.633033,4.799134
car_164,1704.58,1.633033,4.799134
car_165,1704.58,1.633033,4.799134
car_166,6530.23,0.199161,12.613476
car_167,6530.23,0.199161,12.613476
car_168,6530.23,0.199161,12.613476
car_169,6530.23,0.199161,12.613476
car_170,6530.23,0.199161,12.613476
car_171,1275.94,1.20275,2.313059
car_172,1275.94,1.20275,2.313059
car_173,1275.94,1.20275,2.313059
car_174,1275.94,1.20275,2.313059
car_175,1275.94,1.20275,2.313059
car_176,4692.34,8.801072,14.962231
car_177,4692.34,8.801072,14.962231
car_178,4692.34,8.801072,14.962231
car_179,4692.34,8.801072,14.962231
car_180,4692.34,8.801072,14.962231
car_181,1993.25,0.958721,6.75627
car_182,1993.25,0.958721,6.75627
car_183,1993.25,0.958721,6.75627
car_184,1993.25,0.958721,6.75627
car_185,1993.25,0.958721,6.75627
car_186,1704.58,1.633033,4.799134
car_187,1704.58,1.633033,4.799134
car_188,1704.58,1.633033,4.799134
car_189,1704.58,1.633033,4.799134
car_190,1704.58,1.633033,4.799134
car_191,6530.23,0.199161,12.613476
car_192,6530.23,0.199161,12.613476
car_193,6530.23,0.199161,12.613476
car_194,6530.23,0.199161,12.613476
car_195,6530.23,0.199161,12.613476
car_196,1275.94,1.20275,2.313059
car_197,1275.94,1.20275,2.313059
car_198,1275.94,1.20275,2.313059
car_199,1275.94,1.20275,2.313059
car_200,1275.94,1.20275,2.313059
car_201,4692.34,8.801072,14.962231
car_202,4692.34,8.801072,14.962231
car_203,4692.34,8.801072,14.962231
car_204,4692.34,8.801072,14.962231
car_205,4692.34,8.801072,14.962231
car_206,1993.25,0.958721,6.75627
car_207,1993.25,0.958721,6.75627
car_208,1993.25,0.958721,6.75627
